S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
166,0.05,7600.0,600.0,0.05,8.71292304992676,35.95622942253561,0.20101813980647512,10455.507659912111,Newtons region,20,1.9510273968672243e-05
167,0.05,5323.0,600.0,0.05,6.8920714054107695,24.259369757226803,0.21675485871233344,8270.485686492922,Newtons region,20,1.3956516603248403e-05
168,0.05,3500.0,600.0,0.05,5.152795124053956,14.896484022377807,0.23811507353739325,6183.354148864747,Newtons region,21,4.17871352387626e-05
169,0.05,2600.0,600.0,0.05,4.127458572387697,10.272787481870223,0.25592441653465176,4952.950286865236,Newtons region,21,2.1463564410070307e-05
170,0.05,2267.0,600.0,0.05,3.701897801399232,8.562515230202923,0.2651803692093842,4442.277361679078,Newtons region,21,4.311661386668197e-06
171,0.07,7600.0,600.0,0.05,11.346854095458985,98.65763769389994,0.16592528179331656,19062.714880371095,Newtons region,19,4.389654454196212e-05
172,0.07,5323.0,600.0,0.05,8.979498081378939,66.56812739497131,0.1787701517129865,15085.556776716618,Newtons region,22,7.695593397259652e-06
173,0.07,3500.0,600.0,0.05,6.71713102912903,40.87345633323312,0.19615822204915417,11284.780128936773,Newtons region,22,1.9273912472506323e-05
174,0.07,2600.0,600.0,0.05,5.383704528808593,28.189584841647143,0.21060032597186343,9044.623608398437,Newtons region,19,1.599737353106042e-05
175,0.07,2267.0,600.0,0.05,4.830014029960633,23.49627280250831,0.21808961404810115,8114.423570333865,Newtons region,21,2.6800950788861045e-05
176,0.1,7600.0,600.0,0.05,15.001304626464847,287.6319983626833,0.1356150882017657,36003.13110351563,Newtons region,20,4.250041893879633e-05
177,0.1,5323.0,600.0,0.05,11.874806317329409,194.07703406896405,0.14603264435747132,28499.53516159058,Newtons region,23,3.259710603561684e-06
178,0.1,3500.0,600.0,0.05,8.886936187744144,119.17230767865139,0.16010323170221588,21328.646850585945,Newtons region,20,4.544167065264553e-05
179,0.1,2600.0,600.0,0.05,7.125183105468752,82.18594677361351,0.1717648823199566,17100.439453125004,Newtons region,18,2.2911445565166036e-05
180,0.1,2267.0,600.0,0.05,6.393541229248048,68.50001231315362,0.17780197548840154,15344.498950195315,Newtons region,18,5.910607411430725e-06
181,0.001,7600.0,300.0,0.02,0.42674657592773446,0.0002999714748961106,3.4954149255441127,12.802397277832034,Intermediate region,15,1.1935762558148288e-06
182,0.001,5323.0,300.0,0.02,0.3202200822448731,0.0002064034711353999,4.271483523004562,9.606602467346192,Intermediate region,16,8.745625649947145e-06
