S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
67,0.01,5323.0,1000.0,0.001,3.1553077225685113,0.17763964133641164,0.11358907681099337,63106.15445137023,Newtons region,23,6.826166232667265e-06
68,0.01,3500.0,1000.0,0.001,2.2795045375823975,0.10272996226380945,0.12586249292778667,45590.09075164795,Newtons region,23,1.1438575446824529e-06
69,0.01,2600.0,1000.0,0.001,1.748780059814453,0.06574718488874014,0.1368632661497253,34975.60119628906,Newtons region,23,1.0063627911082244e-06
70,0.01,2267.0,1000.0,0.001,1.5223813791275025,0.052061600206248844,0.1430048310423341,30447.62758255005,Newtons region,22,3.849565197247544e-05
71,0.03,7600.0,1000.0,0.001,9.549883103370664,7.322858790468659,0.056796576916748526,572992.9862022399,Newtons region,25,3.5329567356394104e-05
72,0.03,5323.0,1000.0,0.001,7.430577799558639,4.796222179192114,0.06144573382487229,445834.6679735184,Newtons region,24,1.6862415074994292e-05
73,0.03,3500.0,1000.0,0.001,5.370082855224609,2.773685451749835,0.0680350720646332,322204.97131347656,Newtons region,19,9.626847744695664e-06
74,0.03,2600.0,1000.0,0.001,4.121304702758788,1.7751606819846184,0.07392746841096641,247278.2821655273,Newtons region,24,8.50421822928705e-06
75,0.03,2267.0,1000.0,0.001,3.588639729022979,1.4057161445217807,0.07721035061872188,215318.38374137873,Newtons region,23,8.359089177881337e-07
76,0.05,7600.0,1000.0,0.001,14.214581251144413,33.899744652317366,0.04272365512075927,1421458.1251144414,Newtons region,24,3.485664547277487e-05
77,0.05,5323.0,1000.0,0.001,11.061018513143065,22.204893434567822,0.046216661337578305,1106101.8513143065,Newtons region,26,9.606269221767481e-06
78,0.05,3500.0,1000.0,0.001,7.994443178176882,12.8416551177932,0.051166378162255166,799444.3178176882,Newtons region,23,3.07716100906889e-05
79,0.05,2600.0,1000.0,0.001,6.135678291320803,8.218494101184936,0.05559134750687201,613567.8291320803,Newtons region,25,1.0673528413892303e-05
80,0.05,2267.0,1000.0,0.001,5.342707166075707,6.507766843595559,0.058056300355474696,534270.7166075706,Newtons region,25,2.8228546544418343e-05
81,0.07,7600.0,1000.0,0.001,18.471816176176073,93.02418581848104,0.03542099237931673,2586054.2646646504,Newtons region,27,4.7281263718022865e-07
82,0.07,5323.0,1000.0,0.001,14.37393153092265,60.932019674932654,0.038315850757750826,2012350.4143291712,Newtons region,27,1.980562261397161e-05
83,0.07,3500.0,1000.0,0.001,10.388504415750505,35.235004112794975,0.04241820747961035,1454390.6182050707,Newtons region,26,4.010762839491521e-05
84,0.07,2600.0,1000.0,0.001,7.9734815597534165,22.550865231948926,0.046084116319731784,1116287.4183654783,Newtons region,25,1.959441566398841e-05
85,0.07,2267.0,1000.0,0.001,6.943222705006601,17.85734192796373,0.04812587805922082,972051.1787009242,Newtons region,25,2.6564897586298055e-05
86,0.1,7600.0,1000.0,0.001,24.383473992347724,271.20883956822826,0.029039745194992073,4876694.798469545,Newtons region,27,5.268916233986371e-06
87,0.1,5323.0,1000.0,0.001,18.973582318425187,177.63370221579177,0.03141281225387664,3794716.4636850376,Newtons region,27,4.0259469935209726e-05
88,0.1,3500.0,1000.0,0.001,13.714157044887546,102.73385517900412,0.03477406582592923,2742831.4089775095,Newtons region,27,3.675074161557263e-05
89,0.1,2600.0,1000.0,0.001,10.526027679443363,65.74932369295435,0.03777829882315914,2105205.535888673,Newtons region,25,3.152433894785558e-05
90,0.1,2267.0,1000.0,0.001,9.165864616632462,52.06318402513531,0.039451540953701944,1833172.9233264923,Newtons region,26,8.074806088862854e-06
91,0.001,7600.0,899.0,0.8,0.017963763827514648,0.00027536707718317564,604.2793769414498,0.04037355920233917,Stokes region,14,3.403340844811974e-05
92,0.001,5323.0,899.0,0.8,0.01190676774902344,0.0001817883649637511,908.0269738757632,0.02676046051593018,Stokes region,14,1.531538513480096e-05
93,0.001,3500.0,899.0,0.8,0.007026728343200683,0.0001068801113678076,1532.890036005152,0.015792571951343534,Stokes region,15,2.4665649147589888e-06
94,0.001,2600.0,899.0,0.8,0.004605236361694336,6.989615126139913e-05,2333.8333613578006,0.010350268722908021,Stokes region,14,1.995800720876815e-05
95,0.001,2267.0,899.0,0.8,0.0037070950561523433,5.621432754793353e-05,2896.676571073316,0.008331696138702391,Stokes region,15,7.6119338175933645e-06
96,0.003,7600.0,899.0,0.8,0.14333786238098142,0.00743458533560402,28.471662409519706,0.9664555371037672,Stokes region,14,9.78143000386191e-06
97,0.003,5323.0,899.0,0.8,0.09753218876953126,0.004908497388212219,40.60042174713662,0.6576107827785646,Stokes region,12,2.7781320619917755e-05
98,0.003,3500.0,899.0,0.8,0.059078506613159186,0.0028856612287858348,65.05253856435246,0.3983368308392258,Stokes region,14,3.773553665073033e-05
99,0.003,2600.0,899.0,0.8,0.03934396181030274,0.0018871698170672417,95.92520236125164,0.2652766625059662,Stokes region,13,3.38762568911981e-05
100,0.003,2267.0,899.0,0.8,0.03188743374023438,0.0015178214230456854,117.451741806329,0.2150010219935303,Stokes region,13,3.039478691501765e-05
101,0.005,7600.0,899.0,0.8,0.33290583541870117,0.03442056794660585,8.797426332601976,3.7410293255176543,Intermediate region,13,2.4832248373850477e-05
102,0.005,5323.0,899.0,0.8,0.23345196746826175,0.022723535023680325,11.810308438003883,2.6234164844245913,Intermediate region,15,1.5781713165470777e-05
103,0.005,3500.0,899.0,0.8,0.14630545623779295,0.013359568148609249,17.678759864153378,1.6441075644721983,Intermediate region,12,3.583264296027599e-05
104,0.005,2600.0,899.0,0.8,0.09971222236633301,0.00873753796207906,24.892740202188065,1.1205160988416671,Intermediate region,14,3.944944633609591e-05
105,0.005,2267.0,899.0,0.8,0.08164801208496093,0.0070265067238157765,29.855796247341967,0.9175195358047484,Stokes region,14,3.283637916944343e-05
106,0.007,7600.0,899.0,0.8,0.5411976719818117,0.09444836192109166,4.6602256053167705,8.514392374453852,Intermediate region,14,7.0814241896600894e-06
107,0.007,5323.0,899.0,0.8,0.38855781519775395,0.06235508469519456,5.968771147718459,6.1129858275986635,Intermediate region,15,1.155543057160907e-05
108,0.007,3500.0,899.0,0.8,0.2507442780899048,0.03666050079154878,8.426761099959657,3.9448343550494274,Intermediate region,15,1.451632989244697e-05
109,0.007,2600.0,899.0,0.8,0.1746558098739624,0.023974109114157895,11.357970988592845,2.747772528842113,Intermediate region,15,3.125185920109437e-05
110,0.007,2267.0,899.0,0.8,0.1445332495605469,0.01928046020611952,13.338476037411052,2.2738693487113038,Intermediate region,13,4.7059645741128264e-05
111,0.01,7600.0,899.0,0.8,0.852938854522705,0.2753635426292838,2.680347324699237,19.169800755397794,Intermediate region,15,2.1197181906431033e-05
112,0.01,5323.0,899.0,0.8,0.6268307653808594,0.1817994088625126,3.2765159788830305,14.088021451934813,Intermediate region,15,4.543509040895192e-05
113,0.01,3500.0,899.0,0.8,0.4173728686523438,0.10688485799193746,4.344984056525632,9.380455222961427,Intermediate region,11,4.194405892580289e-05
114,0.01,2600.0,899.0,0.8,0.2982172041320801,0.06989518397442103,5.5654757536961545,6.7024316628684995,Intermediate region,15,3.3796647184216984e-05
115,0.01,2267.0,899.0,0.8,0.25000650878906244,0.0562116922807935,6.368607155703532,5.618896285034178,Intermediate region,13,3.926734615364524e-05
116,0.03,7600.0,899.0,0.8,2.6270249235534675,7.434980787553071,0.8476750219270006,177.12715547059253,Intermediate region,15,4.340890450897821e-05
117,0.03,5323.0,899.0,0.8,2.0159720645141608,4.908404622769118,0.9502749011225705,135.9269164498673,Intermediate region,17,8.881846318664817e-06
118,0.03,3500.0,899.0,0.8,1.4299498165512081,2.8857688329501645,1.110447083200464,96.41436638096519,Intermediate region,17,4.476863804815381e-07
119,0.03,2600.0,899.0,0.8,1.0816279431152345,1.8872714480372288,1.2692772457629324,72.92876406454468,Intermediate region,12,1.997556194960221e-05
120,0.03,2267.0,899.0,0.8,0.9356131823730469,1.5178304027790577,1.3642956835471844,63.083718821502686,Intermediate region,15,3.6311165596481316e-05
121,0.05,7600.0,899.0,0.8,4.099502150774004,34.41947028409937,0.5801260501828162,460.68155419322875,Intermediate region,19,7.058270272215167e-06
122,0.05,5323.0,899.0,0.8,3.1726915206909183,22.723738215994846,0.6394469263824784,356.53120963764195,Intermediate region,17,6.839921864596733e-06
123,0.05,3500.0,899.0,0.8,2.27966893529892,13.35987990771238,0.728181119837906,256.17779660421616,Intermediate region,18,1.2497462622950218e-05
124,0.05,2600.0,899.0,0.8,1.7457418985366826,8.737606095479622,0.8121061776358957,196.17774584805971,Intermediate region,17,4.7247534158888565e-05
125,0.05,2267.0,899.0,0.8,1.520732620239258,7.0267179272059055,0.8606512800066064,170.8923281993866,Intermediate region,16,2.7792735156705947e-06
126,0.07,7600.0,899.0,0.8,5.427336139116287,94.45033400092429,0.46339827077494866,853.8556580864698,Intermediate region,19,2.796155125181028e-05
127,0.07,5323.0,899.0,0.8,4.214529099960328,62.35589208218073,0.5073454084151363,663.0507906512586,Intermediate region,19,2.450379428237251e-05
128,0.07,3500.0,899.0,0.8,3.043949474487305,36.658750153730495,0.5717775854099816,478.88935107371526,Intermediate region,13,3.323706117770725e-05
129,0.07,2600.0,899.0,0.8,2.342618356304169,23.97422054914203,0.6313435725592368,368.5524329055534,Intermediate region,18,2.6603865774312267e-05
130,0.07,2267.0,899.0,0.8,2.0466438821411144,19.280584494535596,0.6652118597889404,321.98824875785084,Intermediate region,17,4.0613608366248815e-05
131,0.1,7600.0,899.0,0.8,7.25793511915207,275.3631442184392,0.3701690292443121,1631.2209180294276,Newtons region,20,1.975029723161585e-05
132,0.1,5323.0,899.0,0.8,5.649359180450442,181.78876061067342,0.40335652309416636,1269.6934758062368,Newtons region,20,1.3139003478885009e-05
133,0.1,3500.0,899.0,0.8,4.095373938560487,106.87795825102363,0.45125440599496824,920.4352926914694,Intermediate region,19,2.2611673725363446e-05
134,0.1,2600.0,899.0,0.8,3.162952606201172,69.895922648882,0.49475125481817117,710.8735982437134,Intermediate region,14,2.322868735878986e-05
135,0.1,2267.0,899.0,0.8,2.769144035339356,56.215736238874996,0.5191432866819473,622.3651219425203,Intermediate region,19,3.267141110340693e-05
136,0.001,7600.0,600.0,0.05,0.20971323242187498,0.0002876309566666005,6.939254723765563,5.033117578124999,Intermediate region,14,4.612189296158422e-05
137,0.001,5323.0,600.0,0.05,0.1510360282958984,0.00019407023393371836,9.026651768462475,3.6248646791015613,Intermediate region,15,3.829792680346901e-05
138,0.001,3500.0,600.0,0.05,0.09936004638671875,0.00011916364575716309,12.807049355578346,2.3846411132812495,Intermediate region,15,2.7245644623801608e-05
139,0.001,2600.0,600.0,0.05,0.07161640625000001,8.218524386842341e-05,17.00190842154698,1.7187937500000001,Intermediate region,11,1.4358629393547555e-05
140,0.001,2267.0,600.0,0.05,0.060845662792968755,6.850308323870828e-05,19.632686833508945,1.46029590703125,Intermediate region,13,3.8920149546643766e-05
141,0.003,7600.0,600.0,0.05,0.8006191040039063,0.007766077971412346,1.4283551731702142,57.64457548828126,Intermediate region,16,4.0695769336345195e-05
142,0.003,5323.0,600.0,0.05,0.6130080691589357,0.005240164908846838,1.643989105215795,44.136580979443366,Intermediate region,17,1.2959261066832561e-05
143,0.003,3500.0,600.0,0.05,0.4370491516113282,0.003217462689974629,1.9858174358630731,31.46753891601563,Intermediate region,16,1.349134863440718e-05
144,0.003,2600.0,600.0,0.05,0.33568593750000003,0.0022188856674890275,2.3214267876683023,24.169387500000003,Intermediate region,10,3.788046030583877e-05
145,0.003,2267.0,600.0,0.05,0.29434688250732427,0.0018495178552905321,2.5166684843374494,21.192975540527346,Intermediate region,16,3.5636984359183648e-06
146,0.005,7600.0,600.0,0.05,1.3074478149414062,0.03595581975356173,0.8927078040102006,156.89373779296872,Intermediate region,16,8.11650512217383e-06
147,0.005,5323.0,600.0,0.05,1.0160871192932128,0.02426072913632676,0.9973114866667429,121.93045431518553,Intermediate region,17,4.207792045604369e-05
148,0.005,3500.0,600.0,0.05,0.7400876464843751,0.014895609157451301,1.1541993416694656,88.810517578125,Intermediate region,13,1.694494431027898e-05
149,0.005,2600.0,600.0,0.05,0.5791622924804688,0.010272756798654907,1.2997963512435609,69.49947509765624,Intermediate region,17,2.4450344463397708e-05
150,0.005,2267.0,600.0,0.05,0.5128973078918457,0.008562386741625638,1.3814108564336474,61.547676947021486,Intermediate region,17,1.9317535225291392e-05
151,0.007,7600.0,600.0,0.05,1.7630124633789066,0.0986635553233482,0.6873513479583158,296.1860938476563,Intermediate region,16,1.608228551228828e-05
